"","GEOID","peopleOfColor","peopleOfColor_pcntl","highSchool","highSchool_pcntl","percent_lowincome","percent_lowincome_pcntl","percent_lingiso","percent_lingiso_pcntl","percent_disability","percent_disability_pcntl","HH_Burdened_Pct","HH_Burdened_Pct_pcntl","socEco_geoMean","geoMeanDist","socEco_arthMean","arthMeanDist"
"1","08001",0.502073958682264,96.875,0.170673549286663,92.1875,0.28981704935762,39.0625,0.0516311204565936,87.5,0.10392511860085,34.375,0.347545809552418,95.3125,68.1303680068109,0.8125,74.21875,0.8125
"2","08003",0.467220293805952,90.625,0.132069005823885,84.375,0.488761421996932,90.625,0.0519311911716975,89.0625,0.17478088414049,76.5625,0.31418370658877,78.125,84.6970870032663,1,84.8958333333333,0.984375
"3","08005",0.373813202415197,76.5625,0.0739644934968684,43.75,0.219696387364167,14.0625,0.043665523670018,75,0.0900359108657812,21.875,0.330506358612424,85.9375,43.3552262137818,0.46875,52.8645833333333,0.546875
"4","08007",0.250618976453812,64.0625,0.0714194279080742,42.1875,0.30851711026616,46.875,0.00290201433936497,17.1875,0.146584512399209,57.8125,0.325196312734722,82.8125,46.738691722645,0.53125,51.8229166666667,0.515625
"5","08009",0.152617851310684,29.6875,0.137967769302005,85.9375,0.471632237416351,89.0625,0.02647412755716,65.625,0.201964750072233,85.9375,0.217809867629362,14.0625,51.2028692992401,0.640625,61.71875,0.75
"6","08011",0.366338344565405,75,0.152404058226731,90.625,0.56762860727729,98.4375,0.0164119977362762,51.5625,0.261229611041405,98.4375,0.311827956989247,76.5625,79.890796488913,0.953125,81.7708333333333,0.9375
"7","08013",0.215314121330719,57.8125,0.0466573756901956,26.5625,0.232399351317957,20.3125,0.0180434014833418,57.8125,0.0813007876277203,18.75,0.339324255385944,90.625,38.1113371356509,0.4375,45.3125,0.421875
"8","08014",0.190001748134456,48.4375,0.0259425664221139,12.5,0.136434292143481,3.125,0.0157990535129232,50,0.0811162928418092,17.1875,0.270768110666181,34.375,19.5536511498151,0.140625,27.6041666666667,0.15625
"9","08015",0.155497639183942,32.8125,0.0676198034408232,40.625,0.329819359797947,54.6875,0.00668205564329972,28.125,0.170900312722884,73.4375,0.309075446482809,71.875,47.0310678545975,0.5625,50.2604166666667,0.453125
"10","08017",0.222112537018756,59.375,0.083707025411061,51.5625,0.265758951084216,34.375,0,7.8125,0.121533030761473,45.3125,0.152454780361757,3.125,22.0973262907047,0.203125,33.59375,0.21875
"11","08019",0.136555691696844,20.3125,0.0207654419388207,4.6875,0.231057363013699,18.75,0.0152445961319681,46.875,0.0989128117672138,29.6875,0.29032992036405,51.5625,22.452211990927,0.21875,28.6458333333333,0.171875
"12","08021",0.566191972525603,98.4375,0.125764807045286,76.5625,0.54778093707504,96.875,0.0505812126924285,84.375,0.202991717146742,89.0625,0.256676091737355,29.6875,73.900115175187,0.84375,79.1666666666667,0.90625
"13","08023",0.683877340866055,100,0.191055888510324,95.3125,0.596795727636849,100,0.121993127147766,100,0.275567423230975,100,0.253150057273769,25,78.737504277205,0.9375,86.71875,1
"14","08025",0.384775808133472,78.125,0.139067731135719,87.5,0.524781341107872,95.3125,0.0169100691775557,53.125,0.246131325805102,95.3125,0.239046887009992,20.3125,63.7323630077623,0.796875,71.6145833333333,0.796875
"15","08027",0.148450586264656,28.125,0.064008394543547,39.0625,0.342633692665398,65.625,0.029810298102981,67.1875,0.16128355704698,70.3125,0.297651309846432,59.375,52.1964645500211,0.6875,54.9479166666667,0.625
"16","08029",0.181030137377069,45.3125,0.0934120553599129,56.25,0.41406116812711,84.375,0.0116132289825802,35.9375,0.188603367186967,79.6875,0.304805183876126,64.0625,58.3466663043544,0.75,60.9375,0.734375
"17","08031",0.430590777002481,85.9375,0.122583952889463,75,0.294570726186099,42.1875,0.0457610422519328,79.6875,0.0959074913741455,25,0.346383594084265,93.75,60.853870979244,0.765625,66.9270833333333,0.78125
