,GEOID,peopleOfColor,peopleOfColor_pcntl,highSchool,highSchool_pcntl,percent_lowincome,percent_lowincome_pcntl,percent_lingiso,percent_lingiso_pcntl,percent_disability,percent_disability_pcntl,HH_Burdened_Pct,HH_Burdened_Pct_pcntl,socEco_geoMean,geoMeanDist,socEco_arthMean,arthMeanDist,geoMeanRank - arthMeanRank
3179,81010028062,0.537216828,82.87103231,0.055702918,44.1822883,0.258899676,53.90804598,0,0,0.157223796,82.46660983,0.242326333,33.59062321,28.59565999,0.55407701,49.50309994,0.608437146,-0.054360136
2289,80590103081,0.047404063,4.346582785,0.0997921,65.35229476,0.217456734,45.68965517,0,0,0.104820724,51.34981529,0.295327103,49.57118353,17.91289617,0.335787089,36.05158859,0.390147225,-0.054360136
661,80050868002,0.637254902,88.53302831,0.070921986,52.71493213,0.195225916,40.86206897,0,0,0.062220415,13.61182154,0.322896282,57.66152087,23.04235928,0.443091733,42.23056197,0.497168743,-0.05407701
1292,80310043032,0.206161137,41.72147555,0.036717063,30.86619263,0.009478673,0.287356322,0,0,0.068825911,18.13015061,0.073558648,1.172098342,4.459349283,0.027746319,15.36287891,0.081540204,-0.053793884
211,80010094061,0.457339693,76.29396626,0.110612855,68.35811248,0.172231055,36.03448276,0,0,0.133013519,71.89542484,0.195348837,19.58261864,25.3373833,0.492921857,45.36076749,0.546715742,-0.053793884
1463,80310154001,0.527589545,82.3563054,0.092405063,63.15449257,0.234269119,49.42528736,0,0,0.089564503,36.20346689,0.378818737,71.44082333,29.54321942,0.569365798,50.43006259,0.623159683,-0.053793884
951,80190147001,0.054992764,5.833571633,0,0,0.20975965,43.90804598,0,0,0.104423771,50.63938619,0.249152542,35.47741567,8.786579492,0.123159683,22.64306991,0.176953567,-0.053793884
2980,80859664004,0.150747238,28.59593938,0.122598353,71.75177763,0.343413978,68.70689655,0,0,0.149427092,79.93748224,0.21589404,25.72898799,25.72675965,0.500849377,45.7868473,0.554360136,-0.053510759
212,80010094062,0.485735458,78.89619674,0.068131868,51.2605042,0.236891038,49.74137931,0,0,0.133013519,71.89542484,0.327166504,58.86220698,30.7857043,0.590317101,51.77595201,0.643544734,-0.053227633
573,80050835001,0.66568915,90.19159279,0.04822695,38.97866839,0.137829912,28.24712644,0,0,0.110354434,56.29440182,0.389078498,73.5563179,27.26938979,0.530294451,47.87801789,0.583522084,-0.053227633
1638,80370002002,0.409756098,71.86159565,0.276923077,93.11570782,0.351219512,70.14367816,0.141678129,89.4375,0.048528028,5.51292981,0.386519945,72.92738708,50.64658706,0.779445074,67.16646642,0.832672707,-0.053227633
3086,80990006001,0.15010142,28.30997998,0.104557641,66.64511959,0.302231237,62.18390805,0,0,0.180995475,89.94032396,0.226415094,28.84505432,25.93593779,0.505096263,45.98739765,0.558323896,-0.053227633
3062,80959677001,0.04797048,4.460966543,0.027472527,23.36780866,0.248062016,51.92528736,0,0,0.170510708,86.84285308,0.226244344,28.78787879,15.43695371,0.279161948,32.56413241,0.332389581,-0.053227633
2094,80459518033,0.28021978,55.56191021,0.272331155,92.79250162,0.42032967,78.76436782,0.05856833,63.75,0.037732845,1.960784314,0.331887202,60.12006861,38.08537364,0.687712344,58.82493876,0.740939977,-0.053227633
1814,80410037071,0.289171975,57.02030312,0,0,0.028025478,2.614942529,0,0,0.087353987,34.10059676,0.218390805,26.38650658,7.154938814,0.086636467,20.0203915,0.139580974,-0.052944507
1636,80370001001,0.527682843,82.38490134,0.148888889,77.40788623,0.154477102,32.4137931,0,0,0.062200957,13.49815288,0.260964912,38.9079474,21.84133728,0.417610419,40.76878016,0.470554926,-0.052944507
3227,81039512002,0.262044653,51.90162997,0.149078727,77.50484809,0.490886999,86.46551724,0,0,0.096219931,42.45524297,0.218658892,26.5294454,27.05009026,0.526047565,47.47611394,0.578992072,-0.052944507
85,80010085434,0.316553727,60.85215899,0.059612519,46.83257919,0.27184466,56.29310345,0,0,0.08115095,27.99090651,0.614649682,97.71297885,27.56606311,0.536240091,48.28028783,0.588901472,-0.052661382
1314,80310045031,0.796413502,96.16814412,0.429394813,98.70717518,0.734177215,98.41954023,0.100371747,80.125,0.064236902,14.89059392,0.433085502,81.90394511,67.10285974,0.874292186,78.36906643,0.926953567,-0.052661382
3217,81010032002,0.157819225,30.34029168,0.18013468,83.16095669,0.222381636,47.09770115,0,0,0.169051878,86.30292697,0.272727273,42.91023442,27.5795743,0.536523216,48.30201848,0.589184598,-0.052661382
874,80130137025,0.098495212,14.92708035,0,0,0.243502052,50.94827586,0,0,0.072013949,20.7445297,0.320819113,57.06117782,9.826332327,0.146375991,23.94684395,0.199037373,-0.052661382
2582,80679403003,0.379951496,68.6302545,0.058035714,45.89528119,0.379282219,73.90804598,0,0,0.09711493,43.16567207,0.381404175,71.98399085,29.96113757,0.576443941,50.59720743,0.628822197,-0.052378256
2141,80519638004,0.035714286,2.545038605,0,0,0.244047619,51.06321839,0,0,0.038853503,2.159704461,0.257653061,37.85020011,4.688610732,0.031710079,15.60302693,0.084088335,-0.052378256
2983,80859665012,0.051120448,4.918501573,0.04509974,36.87782805,0.199579832,42.04022989,0,0,0.178748759,89.59931799,0.231854839,30.53173242,16.59153486,0.30407701,33.99460165,0.35617214,-0.05209513
3467,81230022051,0.176923077,34.74406634,0,0,0.157692308,33.01724138,0,0,0.117041006,60.7274794,0.130653266,5.803316181,8.598984242,0.118912797,22.38201722,0.171007928,-0.05209513
2418,80590117313,0.247391952,49.41378324,0.009326425,4.460245637,0.227272727,48.13218391,0,0,0.054667593,8.496732026,0.350230415,64.75128645,13.41808264,0.229048698,29.20903854,0.281143828,-0.05209513
1829,80410039052,0.135842881,24.70689162,0.014234875,9.017453135,0.300600109,61.89655172,0,0,0.10966811,55.38505257,0.406504065,77.15837621,19.72683226,0.373725934,38.02738754,0.425821065,-0.05209513
986,80299649002,0.175075681,34.37231913,0.08113879,58.3387201,0.421786267,78.90804598,0,0,0.16643694,85.02415459,0.25596817,37.2212693,28.17972521,0.548697622,48.97741818,0.600509626,-0.051812005
3321,81230003001,0.272922944,54.47526451,0,0,NA,NA,NA,NA,0.06543263,15.62944018,NA,NA,9.477946584,0.140147225,23.3682349,0.19195923,-0.051812005
1435,80310083881,0.859433962,98.14126394,0.229859895,89.20491273,0.289218329,59.36781609,0.131802721,87.6875,0.056023195,9.377664109,0.469387755,87.56432247,57.83514663,0.82191393,71.89057989,0.873442809,-0.051528879
1122,80310021004,0.40917782,71.77580784,0.110898662,68.48739496,0.137667304,28.2183908,0,0,0.095158343,41.23330492,0.130612245,5.774728416,17.91224889,0.335503964,35.91493782,0.387032843,-0.051528879
1667,80399612041,0.178964533,35.34458107,0.099931082,65.41693601,0.37423563,73.41954023,0,0,0.094732947,40.38079,0.433933934,82.10405946,28.73386343,0.555775764,49.44431779,0.607021518,-0.051245753
1132,80310026011,0.298808907,58.47869603,0.01996257,15.31997414,0.166235111,34.9137931,0,0,0.156888085,82.18243819,0.356595092,66.06632361,23.53253165,0.455266138,42.82687085,0.506228766,-0.050962627
1355,80310051021,0.16509434,32.22762368,0,0,0.125,25.20114943,0,0,0.129866439,69.90622336,0.168067227,12.55002859,9.45079185,0.139297848,23.31417084,0.190260476,-0.050962627
2670,80690011043,0.112629852,18.24420932,0,0,0.390377255,75.45977011,0,0,0.079521233,26.51321398,0.19237435,18.83933676,9.394956028,0.137315968,23.17608836,0.188278596,-0.050962627
979,80299647001,0.173188406,33.85759222,0.070599613,52.5210084,0.31884058,65.02873563,0,0,0.167922236,85.70616652,0.333333333,60.43453402,29.0334479,0.559739524,49.59133947,0.610419026,-0.050679502
791,80130129052,0.172327044,33.54303689,0.085578447,60.2133161,0.212578616,44.56896552,0,0,0.153139919,81.13100313,0.406326034,77.12978845,28.73796937,0.556342016,49.43101835,0.606738392,-0.050396376
1853,80410044022,0.476841641,78.09551044,0,0,0,0,0,0,0.021978022,0.255754476,0,0,1.647181863,0.00396376,13.05854415,0.054360136,-0.050396376
2792,80690027003,0.089085546,12.66800114,0.088402271,61.50614092,0.126387176,25.68965517,0,0,0.12099872,63.59761296,0.404761905,76.70097198,21.45875008,0.407417894,40.0270637,0.457531144,-0.05011325
3248,81070005002,0.013657056,0.543322848,0.021321962,16.96832579,0.121396055,24.2816092,0,0,0.035427807,1.534526854,0.303754266,52.05831904,5.113754134,0.038788222,15.89768395,0.088901472,-0.05011325
396,80050067113,0.147286822,27.70946526,0.05156038,41.27343245,0,0,0,0,0.079289941,26.22904234,0.06017192,0.628930818,5.159575918,0.039920725,15.97347848,0.090033975,-0.05011325
1811,80410037053,0.185007974,36.51701458,0,0,0.243487507,50.91954023,0,0,0.092004753,37.90849673,0.238329238,32.4757004,11.48010353,0.184597961,26.30345866,0.234428086,-0.049830125
2243,80590101003,0.21331637,43.17986846,0.049897471,40.01292825,0.349408983,69.74137931,0,0,0.168341232,86.13242398,0.328224777,59.17667238,29.1551244,0.562570781,49.70721206,0.612400906,-0.049830125
2767,80690020081,0.081967213,11.0380326,0.037606838,31.6095669,0.139983236,28.76436782,0,0,0.178527151,89.5140665,0.362068966,67.66723842,19.82922764,0.376840317,38.09887871,0.426670442,-0.049830125
3410,81230019021,0.286228623,56.61995997,0.177883096,82.83775048,0.173492349,36.26436782,0,0,0.13808948,74.90764422,0.285895807,46.6266438,28.99388265,0.559456399,49.54272771,0.609286523,-0.049830125
2982,80859665011,0.115089514,18.81612811,0.055299539,43.98836458,0.193094629,40.63218391,0,0,0.178748759,89.59931799,0.132768362,6.003430532,16.20219069,0.294733862,33.17323752,0.344280861,-0.049546999
377,80050067043,0.128540305,22.81955962,0,0,0.132897603,27.35632184,0,0,0.057229569,10.37226485,0.392572944,74.21383648,8.850216755,0.124858437,22.46033046,0.174405436,-0.049546999
1111,80310017021,0.338741396,63.59736917,0.105027933,66.83904331,0.309734513,63.3045977,0,0,0.1249165,66.3256607,0.300438596,51.08633505,31.13975277,0.595130238,51.85883432,0.644677237,-0.049546999
